Node Number =   5620
  289.28889546   42.19102693    8.22900000
  289.28793249   42.19010045    5.30700000
  289.28702436   42.18941460    4.01000000
  289.28660023   42.18876076    3.89100000
  289.28556450   42.18869640    3.27700000
  289.28505288   42.18822220    5.06400000
  289.28455772   42.18780479    5.83900000
  289.28397356   42.18732123    6.01600000
  289.28330054   42.18689577    5.78300000
  289.28261857   42.18652517    5.62700000
  289.28195204   42.18618976    3.82700000
  289.28139699   42.18584317    3.64800000
  289.28088453   42.18574977    1.33600000
  289.28053304   42.18545147   -4.18900000
  289.28015041   42.18525377   -3.50300000
  289.28020446   42.18488671   -3.25300000
  289.27994554   42.18462754   -2.78200000
  289.27966393   42.18440424   -2.14800000
  289.27933577   42.18413887   -2.14100000
  289.27933876   42.18379677   -2.13800000
  289.27902096   42.18359266   -2.13800000
  289.27875456   42.18332668   -2.48700000
  289.27854158   42.18312836   -2.41700000
  289.27827473   42.18292999   -2.14500000
  289.27830537   42.18262861   -3.79400000
  289.27796943   42.18280409   -3.76200000
  289.27750397   42.18291092   -4.01700000
  289.27687841   42.18298343   -3.92700000
  289.27622250   42.18297962   -3.74200000
  289.27508951   42.18287226   -3.90900000
  289.27405599   42.18284472   -9.84300000
  289.27299322   42.18283953  -11.64300000
  289.27164106   42.18284373  -17.26900000
  289.27037532   42.18183908  -15.29900000
  289.26875276   42.18113328  -12.47900000
  289.26703665   42.18040085   -8.72600000
  289.26548014   42.17959216   -5.84800000
  289.29175751   42.19328854   13.66400000
  289.29106906   42.20106123    9.36500000
  289.29106169   42.20050814    9.10200000
  289.29084043   42.19983293    8.71000000
  289.29142000   42.19922635    9.33400000
  289.29161075   42.19815828   10.31300000
  289.29129010   42.19707106   10.99300000
  289.29106162   42.19609069    9.84100000
  289.29074116   42.19507218   10.25100000
  289.29041281   42.19400405    9.84800000
  289.29042077   42.20253374    7.82500000
  289.29071031   42.20186235    8.64000000
  289.28939814   42.20449831    5.67300000
  289.28979487   42.20386125    5.78500000
  289.29011539   42.20319746    7.00100000
  289.28887171   42.20507812    5.47900000
  289.28419587   42.21044653    5.87700000
  289.28474365   42.20956056    4.72100000
  289.28553877   42.20863885    4.47100000
  289.28678475   42.20823155    5.04800000
  289.28718703   42.20750153    4.17000000
  289.28752130   42.20677566    4.18100000
  289.28804766   42.20611954    6.06600000
  289.28813155   42.20551681    5.47900000
  289.28199742   42.21143720    5.60200000
  289.28249589   42.21041227    4.66400000
  289.27747201   42.21171868    2.33300000
  289.27922422   42.21187751    3.47000000
  289.28049454   42.21119131    4.59200000
  289.27392815   42.21258014    4.40800000
  289.27517703   42.21186149    4.01800000
  289.27603068   42.21132636    1.86100000
  289.26981372   42.21355060    6.90000000
  289.27121438   42.21282886   12.02800000
  289.27229328   42.21236803   12.06000000
  289.26499896   42.21474378    1.74800000
  289.26549786   42.21448246    1.61700000
  289.26603900   42.21410161    2.67600000
  289.26666697   42.21362486    3.86800000
  289.26785920   42.21356592    5.34900000
  289.26867692   42.21326745    6.64300000
  289.26275251   42.21652033    0.78800000
  289.26308829   42.21609116    0.98300000
  289.26340486   42.21569442    1.09100000
  289.26371016   42.21533012    1.67700000
  289.26398465   42.21498107    1.61300000
  289.26442308   42.21471024    1.34100000
  289.26089053   42.21659552   -7.41100000
  289.26138902   42.21682631   -7.09300000
  289.26178937   42.21633233   -6.37300000
  289.26226793   42.21640781   -5.50000000
  289.25824255   42.21731017   -4.81800000
  289.25881312   42.21702943   -6.09600000
  289.25946540   42.21688730   -5.97100000
  289.26000688   42.21667574   -7.15200000
  289.25652109   42.21728802   -6.26100000
  289.25738004   42.21699479   -7.14900000
  289.25470672   42.21689715   -5.86200000
  289.25554457   42.21666010   -8.52500000
  289.25473881   42.21205461  -17.21600000
  289.25616236   42.21345635  -19.06700000
  289.25550437   42.21495833  -12.46000000
  289.25576175   42.21602018  -10.93300000
  289.25314350   42.21095278  -15.94100000
  289.29013782   42.19312153   10.66100000
  289.29003018   42.19211808   11.08500000
  289.28909094   42.19194887    9.92800000
  289.28793913   42.19172103    7.02300000
  289.28746659   42.19092111    5.23900000
  289.28666712   42.19023517    4.51400000
  289.28595286   42.18984794    3.26200000
  289.28608569   42.18918505    3.47700000
  289.28495442   42.18910853    2.23800000
  289.28459308   42.18875568    2.22100000
  289.28419914   42.18839277    3.26900000
  289.28379255   42.18795418    4.95300000
  289.28310352   42.18755834    5.77600000
  289.28248429   42.18721146    5.52800000
  289.28183442   42.18676989    5.17700000
  289.28127929   42.18643140    4.37100000
  289.28085360   42.18610344    1.54300000
  289.28047170   42.18606571   -3.42800000
  289.28050256   42.18573760   -3.77900000
  289.28000851   42.18570144   -3.58200000
  289.27984975   42.18544409   -2.59300000
  289.27987543   42.18513721   -2.15800000
  289.27969928   42.18493109   -2.15800000
  289.27951946   42.18472855   -2.15200000
  289.27925024   42.18450758   -2.07200000
  289.27893842   42.18420790   -2.05600000
  289.27893793   42.18391797   -2.04900000
  289.27857233   42.18376540   -1.95800000
  289.27857955   42.18354416   -2.09800000
  289.27836599   42.18339535    0.06000000
  289.27817552   42.18320087    0.06000000
  289.27806061   42.18301772    0.06000000
  289.27777137   42.18304445   -2.11800000
  289.27761079   42.18323900   -2.26100000
  289.27720662   42.18325807   -3.27600000
  289.27680932   42.18352891   -2.77500000
  289.27599786   42.18364464   -3.13800000
  289.27503221   42.18369295   -4.79800000
  289.27406276   42.18363955   -8.49100000
  289.27296456   42.18377304   -9.79500000
  289.27146247   42.18387460  -12.23500000
  289.27011118   42.18321607  -17.05500000
  289.26830314   42.18243411  -17.64900000
  289.26654853   42.18177414  -12.65800000
  289.26486188   42.18104935  -21.76100000
  289.29023737   42.20106124    8.88300000
  289.29026786   42.20041654    8.50800000
  289.28995523   42.19989774    7.52900000
  289.29037492   42.19922640    7.72600000
  289.29054293   42.19851687    8.65700000
  289.29048885   42.19758607    8.96000000
  289.29000883   42.19673160    7.27500000
  289.28945898   42.19581604    7.03200000
  289.28892489   42.19482802    6.38000000
  289.28882625   42.19371414    5.72800000
  289.28946666   42.20277406    6.72200000
  289.28978741   42.20217133    7.63000000
  289.28990948   42.20161435    8.61900000
  289.28849792   42.20445253    4.96900000
  289.28891016   42.20394899    5.61800000
  289.28922297   42.20339201    6.24300000
  289.28807859   42.20498657    5.12300000
